Adrian Peterson, MIN, RB
Le'Veon Bell, PIT, RB
Jamaal Charles, KC, RB
Eddie Lacy, GB, RB
Marshawn Lynch, SEA, RB
Antonio Brown, PIT, WR
Dez Bryant, DAL, WR
C.J. Anderson, DEN, RB
Matt Forte, CHI, RB
Demaryius Thomas, DEN, WR
LeSean McCoy, BUF, RB
Julio Jones, ATL, WR
Arian Foster, HOU, RB
DeMarco Murray, PHI, RB
Odell Beckham Jr., NYG, WR
Calvin Johnson, DET, WR
Andrew Luck, IND, QB
Jeremy Hill, CIN, RB
Rob Gronkowski, NE, TE
Aaron Rodgers, GB, QB
Jordy Nelson, GB, WR
A.J. Green, CIN, WR
Justin Forsett, BAL, RB
Randall Cobb, GB, WR
Alshon Jeffery, CHI, WR
T.Y. Hilton, IND, WR
Mike Evans, TB, WR
Frank Gore, IND, RB
Melvin Gordon, SD, RB
Jimmy Graham, SEA, TE
Alfred Morris, WAS, RB
Lamar Miller, MIA, RB
Mark Ingram, NO, RB
Emmanuel Sanders, DEN, WR
Joseph Randle, DAL, RB
Brandin Cooks, NO, WR
Kelvin Benjamin, CAR, WR
DeAndre Hopkins, HOU, WR
Carlos Hyde, SF, RB
Latavius Murray, OAK, RB
Jordan Matthews, PHI, WR
Peyton Manning, DEN, QB
Andre Johnson, IND, WR
Jonathan Stewart, CAR, RB
Andre Ellington, ARI, RB
Todd Gurley, STL, RB
Martavis Bryant, PIT, WR
C.J. Spiller, NO, RB
Russell Wilson, SEA, QB
Amari Cooper, OAK, WR
Keenan Allen, SD, WR
Golden Tate, DET, WR
T.J. Yeldon, JAC, RB
Travis Kelce, KC, TE
Drew Brees, NO, QB
Ben Roethlisberger, PIT, QB
Sammy Watkins, BUF, WR
LeGarrette Blount, NE, RB
Julian Edelman, NE, WR
Rashad Jennings, NYG, RB
DeSean Jackson, WAS, WR
Brandon Marshall, NYJ, WR
Ameer Abdullah, DET, RB
Greg Olsen, CAR, TE
Jeremy Maclin, KC, WR
Doug Martin, TB, RB
Giovani Bernard, CIN, RB
Jarvis Landry, MIA, WR
Tevin Coleman, ATL, RB
Joique Bell, DET, RB
Victor Cruz, NYG, WR
Allen Robinson, JAC, WR
Cam Newton, CAR, QB
Matt Ryan, ATL, QB
Martellus Bennett, CHI, TE
Vincent Jackson, TB, WR
Tony Romo, DAL, QB
Isaiah Crowell, CLE, RB
Nelson Agholor, PHI, WR
Chris Ivory, NYJ, RB
Julius Thomas, JAC, TE
Mike Wallace, MIN, WR
Shane Vereen, NYG, RB
Charles Johnson, MIN, WR
Tre Mason, STL, RB
Tom Brady, NE, QB
Zach Ertz, PHI, TE
Kevin White, CHI, WR
Roddy White, ATL, WR
Owen Daniels, DEN, TE
Matthew Stafford, DET, QB
Darren McFadden, DAL, RB
Ryan Mathews, PHI, RB
Michael Floyd, ARI, WR
Devonta Freeman, ATL, RB
Seattle Defense, SEA, DEF
Eli Manning, NYG, QB
Steve Smith, BAL, WR
Jordan Cameron, MIA, TE
Davante Adams, GB, WR
Larry Fitzgerald, ARI, WR
Duke Johnson, CLE, RB
David Cobb, TEN, RB
John Brown, ARI, WR
Bishop Sankey, TEN, RB
Ryan Tannehill, MIA, QB
Brandon LaFell, NE, WR
Breshad Perriman, BAL, WR
Houston Defense, HOU, DEF
David Johnson, ARI, RB
Jason Witten, DAL, TE
Philip Rivers, SD, QB
Buffalo Defense, BUF, DEF
Pierre Garcon, WAS, WR
Knile Davis, KC, RB
Terrance Williams, DAL, WR
Torrey Smith, SF, WR
Reggie Bush, SF, RB
DeAngelo Williams, PIT, RB
Marques Colston, NO, WR
Sam Bradford, PHI, QB
Alfred Blue, HOU, RB
Anquan Boldin, SF, WR
NY Jets Defense, NYJ, DEF
Josh Hill, NO, TE
Montee Ball, DEN, RB
Delanie Walker, TEN, TE
DeVante Parker, MIA, WR
St. Louis Defense, STL, DEF
Charles Sims, TB, RB
Teddy Bridgewater, MIN, QB
Eric Decker, NYJ, WR
Miami Defense, MIA, DEF
Danny Woodhead, SD, RB
Jay Ajayi, MIA, RB
Carson Palmer, ARI, QB
Marvin Jones, CIN, WR
Brian Quick, STL, WR
Percy Harvin, BUF, WR
Arizona Defense, ARI, DEF
Dwayne Allen, IND, TE
Cody Latimer, DEN, WR
Darren Sproles, PHI, RB
Dorial Green-Beckham, TEN, WR
Colin Kaepernick, SF, QB
Kendall Wright, TEN, WR
Joe Flacco, BAL, QB
Stephen Gostkowski, NE, PK
Cameron Artis-Payne, CAR, RB
Kyle Rudolph, MIN, TE
Kenny Stills, MIA, WR
Denver Defense, DEN, DEF
Adam Vinatieri, IND, PK
Roy Helu, OAK, RB
Vernon Davis, SF, TE
Steve Johnson, SD, WR
Rueben Randle, NYG, WR
Carolina Defense, CAR, DEF
Antonio Gates, SD, TE
Markus Wheaton, PIT, WR
Jameis Winston, TB, QB
Fred Jackson, BUF, RB
Jerick McKinnon, MIN, RB
Stevan Ridley, NYJ, RB
Ladarius Green, SD, TE
Tyler Eifert, CIN, TE
Jay Cutler, CHI, QB
Matt Jones, WAS, RB
Dan Bailey, DAL, PK
Andre Williams, NYG, RB
Denard Robinson, JAC, RB
James Starks, GB, RB
Coby Fleener, IND, TE
Eric Ebron, DET, TE
Dan Herron, IND, RB
Terrance West, CLE, RB
Devin Funchess, CAR, WR
Steve Hauschka, SEA, PK
Derek Carr, OAK, QB
Jonas Gray, NE, RB
Eddie Royal, CHI, WR
Michael Crabtree, OAK, WR
Kansas City Defense, KC, DEF
Andy Dalton, CIN, QB
James White, NE, RB
Austin Seferian-Jenkins, TB, TE
Donte Moncrief, IND, WR
Phillip Dorsett, IND, WR
Justin Tucker, BAL, PK
Cordarrelle Patterson, MIN, WR
Philadelphia Defense, PHI, DEF
Mason Crosby, GB, PK
Marcus Mariota, TEN, QB
Dwayne Bowe, CLE, WR
Nick Foles, STL, QB
Green Bay Defense, GB, DEF
Baltimore Defense, BAL, DEF
Cody Parkey, PHI, PK
Robert Griffin III, WAS, QB
Doug Baldwin, SEA, WR
New England Defense, NE, DEF
