Adrian Peterson, MIN, RB
Doug Martin, TB, RB
Arian Foster, HOU, RB
Jamaal Charles, KC, RB
Marshawn Lynch, SEA, RB
Ray Rice, BAL, RB
Calvin Johnson, DET, WR
C.J. Spiller, BUF, RB
Trent Richardson, IND, RB
LeSean McCoy, PHI, RB
Aaron Rodgers, GB, QB
Drew Brees, NO, QB
Alfred Morris, WAS, RB
Matt Forte, CHI, RB
A.J. Green, CIN, WR
Dez Bryant, DAL, WR
Steven Jackson, ATL, RB
Peyton Manning, DEN, QB
Chris Johnson, TEN, RB
Julio Jones, ATL, WR
Brandon Marshall, CHI, WR
Jimmy Graham, NO, TE
Demaryius Thomas, DEN, WR
Maurice Jones-Drew, JAC, RB
Stevan Ridley, NE, RB
Tom Brady, NE, QB
Reggie Bush, DET, RB
Larry Fitzgerald, ARI, WR
Frank Gore, SF, RB
Andre Johnson, HOU, WR
Randall Cobb, GB, WR
Roddy White, ATL, WR
David Wilson, NYG, RB
Cam Newton, CAR, QB
DeMarco Murray, DAL, RB
Matt Ryan, ATL, QB
Victor Cruz, NYG, WR
Vincent Jackson, TB, WR
Darren McFadden, OAK, RB
Wes Welker, DEN, WR
Darren Sproles, NO, RB
Marques Colston, NO, WR
Colin Kaepernick, SF, QB
Eddie Lacy, GB, RB
Dwayne Bowe, KC, WR
Lamar Miller, MIA, RB
Rob Gronkowski, NE, TE
Danny Amendola, NE, WR
Reggie Wayne, IND, WR
Matthew Stafford, DET, QB
Andrew Luck, IND, QB
Jordy Nelson, GB, WR
Hakeem Nicks, NYG, WR
Torrey Smith, BAL, WR
Robert Griffin III, WAS, QB
Eric Decker, DEN, WR
Montee Ball, DEN, RB
Ryan Mathews, SD, RB
Pierre Garcon, WAS, WR
Jason Witten, DAL, TE
Vernon Davis, SF, TE
Mike Wallace, MIA, WR
Antonio Brown, PIT, WR
Russell Wilson, SEA, QB
Tony Gonzalez, ATL, TE
Giovani Bernard, CIN, RB
Tony Romo, DAL, QB
DeSean Jackson, PHI, WR
Steve Smith, CAR, WR
James Jones, GB, WR
Daryl Richardson, STL, RB
T.Y. Hilton, IND, WR
Ahmad Bradshaw, IND, RB
Chris Ivory, NYJ, RB
Le'Veon Bell, PIT, RB
Tavon Austin, STL, WR
Rashard Mendenhall, ARI, RB
Seahawks D/ST, SEA, DEF
Greg Jennings, MIN, WR
BenJarvus Green-Ellis, CIN, RB
Miles Austin, DAL, WR
Steve Johnson, BUF, WR
Jermichael Finley, GB, TE
Anquan Boldin, SF, WR
Cecil Shorts, JAC, WR
DeAngelo Williams, CAR, RB
Shane Vereen, NE, RB
49ers D/ST, SF, DEF
Eli Manning, NYG, QB
Rudolph, SF, TE
Mark Ingram, NO, RB
Mike Williams, TB, WR
Greg Olsen, CAR, TE
Josh Gordon, CLE, WR
Ben Tate, HOU, RB
Bears D/ST, CHI, DEF
Michael Vick, PHI, QB
Kenny Britt, TEN, WR
Lance Moore, NO, WR
Jeremy Maclin, PHI, WR
Texans D/ST, HOU, DEF
Andy Dalton, CIN, QB
Antonio Gates, SD, TE
Jared Cook, STL, TE
Owen Daniels, HOU, TE
Andre Brown, NYG, RB
Dennis Pitta, BAL, TE
Broncos D/ST, DEN, DEF
Stephen Gostkowski, NE, K
Golden Tate, SEA, WR
Kenbrell Thompkins, NE, WR
Danario Alexander, SD, WR
Vick Ballard, IND, RB
Bengals D/ST, CIN, DEF
DeAndre Hopkins, HOU, WR
Chris Givens, STL, WR
Sidney Rice, SEA, WR
Ben Roethlisberger, PIT, QB
Justin Blackmon, JAC, WR
Michael Crabtree, SF, WR
Joe Flacco, BAL, QB
Vincent Brown, SD, WR
Patriots D/ST, NE, DEF
Ronnie Hillman, DEN, RB
Jay Cutler, CHI, QB
Michael Floyd, ARI, WR
Bryce Brown, PHI, RB
Jordan Cameron, CLE, TE
Emmanuel Sanders, PIT, WR
Blair Walsh, MIN, K
Matt Bryant, ATL, K
Matt Schaub, HOU, QB
Bernard Pierce, BAL, RB
Fred Jackson, BUF, RB
Alshon Jeffery, CHI, WR
Percy Harvin, SEA, WR
Jonathan Stewart, CAR, RB
Martellus Bennett, CHI, TE
Moore, NE, WR
Matt Prater, DEN, K
Sam Bradford, STL, QB
Packers D/ST, GB, DEF
Carson Palmer, ARI, QB
Brandon Pettigrew, DET, TE
Brandon Myers, NYG, TE
Danny Woodhead, SD, RB
Zach Sudfeld, NYJ, TE
Ravens D/ST, BAL, DEF
Phil Dawson, SF, K
Cordarrelle Patterson, MIN, WR
Jacquizz Rodgers, ATL, RB
Pierre Thomas, NO, RB
Mikel Leshoure, DET, RB
Rams D/ST, STL, DEF
Steelers D/ST, PIT, DEF
Josh Freeman, MIN, QB
Fred Davis, WAS, TE
Jermaine Gresham, CIN, TE
Isaiah Pead, STL, RB
Jonathan Dwyer, PIT, RB
Michael Bush, CHI, RB
Philip Rivers, SD, QB
Kendall Wright, TEN, WR
Sebastian Janikowski, OAK, K
Knowshon Moreno, DEN, RB
Ryan Broyles, DET, WR
Smith, GB, QB
Brian Hartline, MIA, WR
Joique Bell, DET, RB
Darrius Heyward-Bey, IND, WR
Rueben Randle, NYG, WR
Greg Zuerlein, STL, K
Johnathan Franklin, GB, RB
Justin Tucker, BAL, K
Christine Michael, SEA, RB
Bilal Powell, NYJ, RB
Tyler Eifert, CIN, TE
Cardinals D/ST, ARI, DEF
Shonn Greene, TEN, RB
Ryan Tannehill, MIA, QB
EJ Manuel, BUF, QB
Floyd, STL, WR
Aaron Dobson, NE, WR
Coby Fleener, IND, TE
Julius Thomas, DEN, TE
LaMichael James, SF, RB
Roy Helu, WAS, RB
Heath Miller, PIT, TE
David Akers, DET, K
Brandon LaFell, CAR, WR
Mohamed Sanu, CIN, WR
Zach Miller, SEA, TE
Garrett Hartley, NO, K
Zac Stacy, STL, RB
Marcus Lattimore, SF, RB
DuJuan Harris, GB, RB
Randy Bullock, HOU, K
Dan Bailey, DAL, K
Joseph Randle, DAL, RB
Cowboys D/ST, DAL, DEF
Dustin Keller, MIA, TE
Giants D/ST, NYG, DEF
Kendall Hunter, SF, RB
Jacoby Jones, BAL, WR
Justin Hunter, TEN, WR
Falcons D/ST, ATL, DEF
Greg Little, CLE, WR
Kenny Stills, NO, WR
Ryan Williams, ARI, RB
Daniel Thomas, MIA, RB
Knile Davis, KC, RB
Buccaneers D/ST, TB, DEF
Steven Hauschka, SEA, K
Vikings D/ST, MIN, DEF
Brandon Weeden, CLE, QB
Jake Locker, TEN, QB
Santana Moss, WAS, WR
Panthers D/ST, CAR, DEF
Mike Tolbert, CAR, RB
Santonio Holmes, NYJ, WR
Dwayne Allen, IND, TE
Chargers D/ST, SD, DEF
Mason Crosby, GB, K
Robert Turbin, SEA, RB
Robert Woods, BUF, WR
Markus Wheaton, PIT, WR
Julian Edelman, NE, WR
Josh Brown, NYG, K
Robbie Gould, CHI, K
Geno Smith, NYJ, QB
Zach Ertz, PHI, TE
Browns D/ST, CLE, DEF
Roberts, NYG, WR
Lions D/ST, DET, DEF
Dolphins D/ST, MIA, DEF
Adam Vinatieri, IND, K
Robert Housler, ARI, TE
Christian Ponder, MIN, QB
Redskins D/ST, WAS, DEF
Toby Gerhart, MIN, RB
Ed Dickson, BAL, TE
Stepfan Taylor, ARI, RB
Bills D/ST, TB, DEF
Brent Celek, PHI, TE
Chiefs D/ST, KC, DEF
Kai Forbath, WAS, K
Denard Robinson, JAC, RB
Riley Cooper, PHI, WR
LeGarrette Blount, NE, RB
Quinton Patton, SF, WR
Marcedes Lewis, JAC, TE
Saints D/ST, NO, DEF
Dunbar, SD, RB
Terrelle Pryor, OAK, QB
Alex Henery, PHI, K
Keenan Allen, SD, WR
Felix Jones, PIT, RB
Lawrence Tynes, TB, K
Rod Streater, OAK, WR
Marcel Reece, OAK, RB
Colts D/ST, IND, DEF
Donnie Avery, KC, WR
Nate Washington, TEN, WR
Caleb Sturgis, MIA, K
Jets D/ST, NYJ, DEF
Titans D/ST, TEN, DEF
Rashad Jennings, OAK, RB
Mike Nugent, CIN, K
Eagles D/ST, PHI, DEF
Shayne Graham, NO, K
Nate Burleson, DET, WR
Brian Quick, STL, WR
Jacob Tamme, DEN, TE
Stephen Hill, NYJ, WR
Shaun Suisham, PIT, K
Kerley, KC, WR
Rob Bironas, TEN, K
Kirk Cousins, WAS, QB
Justin Forsett, JAC, RB
Ryan Succop, KC, K
Dexter McCluster, KC, WR
Jon Baldwin, SF, WR
Matt Flynn, GB, QB
Jay Feely, ARI, K
Nick Foles, PHI, QB
